design_id,run_order,timing_id,timing,block,trial_in_block,interference,movement_trial_id
1,1,1,retention,1,1,visual,13
1,2,1,retention,1,2,visual,11
1,3,1,retention,1,3,visual,4
1,4,1,retention,1,4,visual,23
1,5,1,retention,1,5,visual,18
1,6,1,retention,2,1,motor,22
1,7,1,retention,2,2,motor,15
1,8,1,retention,2,3,motor,19
1,9,1,retention,2,4,motor,5
1,10,1,retention,2,5,motor,6
1,11,1,retention,3,1,verbal,24
1,12,1,retention,3,2,verbal,1
1,13,1,retention,3,3,verbal,12
1,14,1,retention,3,4,verbal,21
1,15,1,retention,3,5,verbal,9
1,16,1,retention,4,1,spatial,20
1,17,1,retention,4,2,spatial,25
1,18,1,retention,4,3,spatial,16
1,19,1,retention,4,4,spatial,17
1,20,1,retention,4,5,spatial,2
1,21,1,retention,5,1,control,10
1,22,1,retention,5,2,control,7
1,23,1,retention,5,3,control,8
1,24,1,retention,5,4,control,14
1,25,1,retention,5,5,control,3
1,26,2,encoding,1,1,motor,5
1,27,2,encoding,1,2,motor,21
1,28,2,encoding,1,3,motor,8
1,29,2,encoding,1,4,motor,11
1,30,2,encoding,1,5,motor,3
1,31,2,encoding,2,1,spatial,15
1,32,2,encoding,2,2,spatial,9
1,33,2,encoding,2,3,spatial,2
1,34,2,encoding,2,4,spatial,6
1,35,2,encoding,2,5,spatial,20
1,36,2,encoding,3,1,verbal,1
1,37,2,encoding,3,2,verbal,14
1,38,2,encoding,3,3,verbal,18
1,39,2,encoding,3,4,verbal,4
1,40,2,encoding,3,5,verbal,7
1,41,2,encoding,4,1,control,12
1,42,2,encoding,4,2,control,25
1,43,2,encoding,4,3,control,16
1,44,2,encoding,4,4,control,19
1,45,2,encoding,4,5,control,17
1,46,2,encoding,5,1,visual,24
1,47,2,encoding,5,2,visual,23
1,48,2,encoding,5,3,visual,22
1,49,2,encoding,5,4,visual,13
1,50,2,encoding,5,5,visual,10
2,1,1,encoding,1,1,control,2
2,2,1,encoding,1,2,control,9
2,3,1,encoding,1,3,control,13
2,4,1,encoding,1,4,control,1
2,5,1,encoding,1,5,control,25
2,6,1,encoding,2,1,spatial,3
