movement_trial_id,start,target,amplitude,speed,direction
1,139,46,93,20,1
2,44,136,92,22,-1
3,46,137,91,27,-1
4,135,45,90,28,1
5,46,134,88,17,-1
6,130,46,84,12,1
7,55,138,83,12,-1
8,115,58,57,18,1
9,54,110,56,12,-1
10,124,68,56,13,1
11,86,140,54,27,-1
12,114,60,54,26,1
13,41,94,53,21,-1
14,61,113,52,27,-1
15,88,139,51,13,-1
16,68,119,51,19,-1
17,42,92,50,27,-1
18,92,42,50,13,1
19,90,40,50,27,1
20,91,140,49,20,-1
21,42,90,48,15,-1
22,135,87,48,27,1
23,132,87,45,20,1
24,86,42,44,20,1
25,140,97,43,13,1
